# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.000000 ,-0.000000 ,-0.000028 ,8.000000  ,0.037878  ,0.000000  ,0.000000  ,-0.023808 ,-180.000000
0.020000  ,0.001608  ,-0.000000 ,0.167008  ,8.000000  ,0.037892  ,0.000000  ,0.000000  ,-0.023808 ,0.006160  
0.040000  ,0.006188  ,-0.000042 ,0.273795  ,8.000000  ,0.037892  ,-0.000000 ,0.000000  ,-0.023961 ,0.536723  
0.060000  ,0.012545  ,-0.000258 ,0.354100  ,8.000000  ,0.037733  ,-0.000000 ,0.000000  ,-0.026886 ,2.200179  
0.080000  ,0.020487  ,-0.000714 ,0.433690  ,8.000000  ,0.037349  ,-0.000000 ,0.000000  ,-0.033552 ,4.074450  
0.100000  ,0.030017  ,-0.001406 ,0.513820  ,8.000000  ,0.036744  ,-0.000000 ,0.000000  ,-0.043546 ,5.764186  
0.120000  ,0.041146  ,-0.002324 ,0.594626  ,8.000000  ,0.035926  ,-0.000000 ,0.000000  ,-0.062572 ,7.422542  
0.140000  ,0.053888  ,-0.003470 ,0.676070  ,8.000000  ,0.034895  ,0.000000  ,0.000000  ,-0.081409 ,9.175210  
0.160000  ,0.068255  ,-0.004818 ,0.757995  ,8.000000  ,0.033677  ,0.000000  ,0.000000  ,-0.102800 ,10.951561 
0.180000  ,0.084260  ,-0.006336 ,0.840364  ,8.000000  ,0.032305  ,-0.000000 ,0.000000  ,-0.126285 ,12.780777 
0.200000  ,0.101920  ,-0.007991 ,0.923473  ,8.000000  ,0.033628  ,-0.000000 ,0.090000  ,-0.151285 ,14.690938 
0.220000  ,0.121242  ,-0.009768 ,1.006641  ,8.000000  ,0.031368  ,0.000000  ,0.090000  ,-0.176994 ,16.733114 
0.240000  ,0.142232  ,-0.011612 ,1.089867  ,8.000000  ,0.029000  ,-0.000000 ,0.090000  ,-0.202979 ,18.799806 
0.260000  ,0.164906  ,-0.013468 ,1.173703  ,8.000000  ,0.026577  ,0.000000  ,0.090000  ,-0.228701 ,20.912892 
0.280000  ,0.189239  ,-0.015316 ,1.255833  ,8.000000  ,0.024120  ,-0.000000 ,0.090000  ,-0.253420 ,23.144636 
0.300000  ,0.215232  ,-0.017099 ,1.338100  ,8.000000  ,0.021688  ,0.000000  ,0.090000  ,-0.276677 ,25.397597 
0.320000  ,0.242834  ,-0.018783 ,1.417343  ,8.000000  ,0.019314  ,-0.000000 ,0.090000  ,-0.354117 ,27.724056 
0.340000  ,0.272009  ,-0.020286 ,1.494616  ,8.000000  ,0.017081  ,-0.000000 ,0.090000  ,-0.378749 ,30.035928 
0.360000  ,0.302563  ,-0.021448 ,1.560016  ,8.000000  ,0.013366  ,-0.000000 ,0.170000  ,-0.402371 ,32.324328 
0.380000  ,0.334478  ,-0.022163 ,1.629374  ,8.000000  ,0.012548  ,-0.000000 ,0.170000  ,-0.424683 ,34.712156 
0.400000  ,0.367845  ,-0.022412 ,1.709578  ,8.000000  ,0.012192  ,-0.000000 ,0.170000  ,-0.444388 ,37.277536 
0.420000  ,0.402631  ,-0.022098 ,1.768318  ,8.000000  ,0.012394  ,-0.000000 ,0.170000  ,-0.461296 ,39.903097 
0.440000  ,0.438734  ,-0.020997 ,1.836012  ,8.000000  ,0.013379  ,-0.000000 ,0.170000  ,-0.557006 ,42.493157 
0.460000  ,0.475987  ,-0.018974 ,1.897864  ,8.000000  ,0.015282  ,-0.000000 ,0.170000  ,-0.573883 ,45.280366 
0.480000  ,0.514363  ,-0.015966 ,1.949614  ,8.000000  ,0.018416  ,-0.000000 ,0.260000  ,-0.587660 ,48.357032 
0.500000  ,0.553837  ,-0.011793 ,2.011785  ,8.000000  ,0.022322  ,-0.000000 ,0.260000  ,-0.597738 ,51.558421 
0.520000  ,0.594234  ,-0.006360 ,2.066764  ,8.000000  ,0.027481  ,0.000000  ,0.260000  ,-0.603654 ,55.041986 
0.540000  ,0.635465  ,0.000441  ,2.110331  ,8.000000  ,0.034002  ,-0.000000 ,0.260000  ,-0.695366 ,58.793856 
0.560000  ,0.677231  ,0.008870  ,2.150541  ,8.000000  ,0.042149  ,0.000000  ,0.260000  ,-0.694597 ,62.713328 
0.580000  ,0.719416  ,0.018805  ,2.182695  ,8.000000  ,0.051958  ,0.000000  ,0.340000  ,-0.687003 ,67.272819 
0.600000  ,0.761809  ,0.030322  ,2.209342  ,8.000000  ,0.063083  ,0.000000  ,0.340000  ,-0.671247 ,72.194460 
0.620000  ,0.804234  ,0.043431  ,2.230020  ,8.000000  ,0.075798  ,0.000000  ,0.340000  ,-0.645644 ,77.549622 
0.640000  ,0.846422  ,0.058149  ,2.239612  ,8.000000  ,0.090126  ,0.000000  ,0.340000  ,-0.703264 ,83.312645 
0.660000  ,0.888142  ,0.074454  ,2.240837  ,8.000000  ,0.105890  ,0.000000  ,0.430000  ,-0.654610 ,89.532493 
0.680000  ,0.929316  ,0.092212  ,2.240477  ,8.000000  ,0.123333  ,-0.000000 ,0.430000  ,-0.590362 ,95.950747 
0.700000  ,0.969771  ,0.111219  ,2.227128  ,8.000000  ,0.142030  ,-0.000000 ,0.430000  ,-0.512955 ,102.102527
0.720000  ,1.009268  ,0.131332  ,2.204044  ,8.000000  ,0.161840  ,0.000000  ,0.430000  ,-0.423955 ,107.907215
0.740000  ,1.047657  ,0.152395  ,2.173608  ,8.000000  ,0.182608  ,-0.000000 ,0.430000  ,-0.326067 ,113.421567
0.760000  ,1.084824  ,0.174243  ,2.136628  ,8.000000  ,0.204186  ,-0.000000 ,0.520000  ,-0.298284 ,118.668451
0.780000  ,1.120681  ,0.196708  ,2.093837  ,8.000000  ,0.226371  ,0.000000  ,0.520000  ,-0.182721 ,123.666512
0.800000  ,1.155170  ,0.219626  ,2.046165  ,8.000000  ,0.249019  ,-0.000000 ,0.520000  ,-0.068325 ,128.424414
0.820000  ,1.188261  ,0.242843  ,1.994939  ,8.000000  ,0.271977  ,-0.000000 ,0.520000  ,0.039817  ,132.942284
0.840000  ,1.219892  ,0.266261  ,1.941623  ,8.000000  ,0.295149  ,-0.000000 ,0.520000  ,0.137614  ,137.091841
0.860000  ,1.249996  ,0.289725  ,1.872857  ,8.000000  ,0.318376  ,-0.000000 ,0.520000  ,0.223279  ,140.940754
0.880000  ,1.278515  ,0.312911  ,1.800606  ,8.000000  ,0.341340  ,0.000000  ,0.520000  ,0.297714  ,144.813386
0.900000  ,1.305494  ,0.335647  ,1.725748  ,8.000000  ,0.363874  ,-0.000000 ,0.600000  ,0.380900  ,148.668210
0.920000  ,1.330990  ,0.357779  ,1.649511  ,8.000000  ,0.385804  ,0.000000  ,0.600000  ,0.443782  ,152.523816
0.940000  ,1.355039  ,0.379266  ,1.574733  ,8.000000  ,0.407099  ,-0.000000 ,0.600000  ,0.495592  ,156.167880
0.960000  ,1.377646  ,0.400100  ,1.498530  ,8.000000  ,0.427754  ,0.000000  ,0.600000  ,0.537198  ,159.436137
0.980000  ,1.398857  ,0.420169  ,1.420513  ,8.000000  ,0.447654  ,0.000000  ,0.600000  ,0.570283  ,162.529713
1.000000  ,1.418731  ,0.439358  ,1.341074  ,8.000000  ,0.466685  ,0.000000  ,0.600000  ,0.596367  ,165.498663
1.020000  ,1.437331  ,0.457565  ,1.260636  ,8.000000  ,0.484744  ,0.000000  ,0.600000  ,0.616719  ,168.378365
1.040000  ,1.454727  ,0.474697  ,1.179753  ,8.000000  ,0.501737  ,-0.000000 ,0.600000  ,0.632387  ,171.213335
1.060000  ,1.470998  ,0.490667  ,1.099029  ,8.000000  ,0.517579  ,0.000000  ,0.600000  ,0.644240  ,174.073215
1.080000  ,1.486231  ,0.505400  ,1.019380  ,8.000000  ,0.532172  ,0.000000  ,0.690000  ,0.652984  ,177.046465
1.100000  ,1.500581  ,0.518827  ,0.947352  ,8.000000  ,0.545488  ,-0.000000 ,0.690000  ,0.659232  ,-179.618211
1.120000  ,1.514222  ,0.530954  ,0.878107  ,8.000000  ,0.557509  ,-0.000000 ,0.690000  ,0.663378  ,-175.897044
